	expr	job_title	location_company	name_company	salary	time	url	url_company
11	3年以上 本科或以上	大数据工程师（Base深圳） 	广州	维沃移动通信有限公司（vivo智能手机）	30-60万	1个月前	https://m.liepin.com/job/1911394980.shtml	https://m.liepin.com/company/4787049/
12	1年以上 本科或以上	店内陈列和营销创新助理经理 	广州	玛氏中国	12-18万	1个月前	https://m.liepin.com/job/1916750133.shtml	https://m.liepin.com/company/8641622/
13	8年以上 本科或以上	ERP系统高级经理 	广州	恒大国能新能源汽车集团	30-42万	1个月前	https://m.liepin.com/job/1916694769.shtml	https://m.liepin.com/company/9699449/
14	5年以上 本科或以上	冲压工艺规划工程师 	广州	恒大国能新能源汽车集团	24-42万	1个月前	https://m.liepin.com/job/1916665107.shtml	https://m.liepin.com/company/9699449/
15	2年以上 大专或以上	直播运营专员 	广州	广州鲸睿科技有限公司	6-10万	1个月前	https://m.liepin.com/job/1916356261.shtml	https://m.liepin.com/company/9706315/
16	1年以上 本科或以上	WXG03-小程序终端系统开发（广州） 	广州	腾讯	面议	1个月前	https://m.liepin.com/job/1916372351.shtml	https://m.liepin.com/company/7983148/
17	1年以上 本科或以上	深度学习工程师 	广州-天河区	网易集团	18-30万	1个月前	https://m.liepin.com/job/1916555745.shtml	https://m.liepin.com/company/5964833/
18	3年以上 本科或以上	冲压质量规划工程师 	广州	恒大国能新能源汽车集团	22-43万	1个月前	https://m.liepin.com/job/1915691149.shtml	https://m.liepin.com/company/9699449/
19	5年以上 本科或以上	整车制造-总装工艺工程师 	广州	恒大国能新能源汽车集团	18-36万	1个月前	https://m.liepin.com/job/1915661823.shtml	https://m.liepin.com/company/9699449/
20	5年以上 本科或以上	车身质量规划工程师 	广州	恒大国能新能源汽车集团	18-42万	1个月前	https://m.liepin.com/job/1915661932.shtml	https://m.liepin.com/company/9699449/
21	3年以上 本科或以上	家装方案设计主管 	广州	蓝谷家居	14-22万	1个月前	https://m.liepin.com/job/1916441585.shtml	https://m.liepin.com/company/8824848/
22	3年以上 本科或以上	售前技术工程师 	广州-天河区	广州市赋安电子科技有限公司	10-20万	1个月前	https://m.liepin.com/job/1913843347.shtml	https://m.liepin.com/company/9189982/
23	5年以上 大专或以上	广东销售经理/主管 	广州	苏州泛普科技股份有限公司	8-14万	1个月前	https://m.liepin.com/job/1915947633.shtml	https://m.liepin.com/company/8290012/
24	2年以上 本科或以上	SU-Android应用软件研发 	广州-黄埔区	CVTE	面议	1个月前	https://m.liepin.com/job/1915636119.shtml	https://m.liepin.com/company/7854025/
25	经验不限 硕士或以上	高级开发工程师（AI方向） 	广州-天河区	网易集团	24-48万	1个月前	https://m.liepin.com/job/198930307.shtml	https://m.liepin.com/company/5964833/
26	1年以上 本科或以上	方案工程师（SE） 	广州-黄埔区	瑞松科技	10-13万	1个月前	https://m.liepin.com/job/195996745.shtml	https://m.liepin.com/company/8873600/
27	1年以上 大专或以上	营业助理/销售助理 	广州-黄埔区	瑞松科技	4-6万	1个月前	https://m.liepin.com/job/1912987772.shtml	https://m.liepin.com/company/8873600/
28	2年以上 大专或以上	电气工程师(瑞松威尔斯通） 	广州-黄埔区	瑞松科技	6-11万	1个月前	https://m.liepin.com/job/1914386811.shtml	https://m.liepin.com/company/8873600/
29	5年以上 本科或以上	高级IT经理 	广州	瑞松科技	面议	1个月前	https://m.liepin.com/job/1915106597.shtml	https://m.liepin.com/company/8873600/
30	3年以上 大专或以上	销售工程师 	广州-黄埔区	瑞松科技	面议	1个月前	https://m.liepin.com/job/1914099496.shtml	https://m.liepin.com/company/8873600/
31	10年以上 本科或以上	技术经理 	广州	北明软件有限公司	26-30万	1个月前	https://m.liepin.com/job/1915127865.shtml	https://m.liepin.com/company/1967197/
32	3年以上 本科或以上	系统分析师 	广州	广州广电计量检测股份有限公司	12-24万	1个月前	https://m.liepin.com/job/1915961089.shtml	https://m.liepin.com/company/9314612/
33	3年以上 本科或以上	体系工程师（医疗器械） 	广州	乐源智能手表	8-13万	1个月前	https://m.liepin.com/job/1915924059.shtml	https://m.liepin.com/company/8914045/
34	3年以上 本科或以上	Java中级软件工程师（人工智能） 	广州	北明软件有限公司	13-20万	1个月前	https://m.liepin.com/job/1915092932.shtml	https://m.liepin.com/company/1967197/
35	1年以上 大专或以上	业务员 	广州-番禺区	广州市伟正金属构件有限公司	6-12万	1个月前	https://m.liepin.com/job/1915888183.shtml	https://m.liepin.com/company/9390611/
36	3年以上 大专或以上	WMS实施顾问 	广州-天河区	鼎捷软件	14-22万	33分钟前	https://m.liepin.com/job/1919172707.shtml	https://m.liepin.com/company/899814/
37	3年以上 大专或以上	PLM实施顾问 	广州-天河区	鼎捷软件	14-22万	33分钟前	https://m.liepin.com/job/1919172489.shtml	https://m.liepin.com/company/899814/
38	2年以上 大专或以上	综合竟然储备主管 	广州	中国平安人寿保险股份有限公司广州市天河支公司	14-18万	46分钟前	https://m.liepin.com/job/1919896739.shtml	https://m.liepin.com/company/8978693/
39	7年以上 大专或以上	本地大客户销售群总监-武汉/济南/广州 	济南,武汉,广州	将人工智能应用到主产品的科技互联网公司	30-52万	2小时前	https://m.liepin.com/a/14144667.shtml	
40	7年以上 本科或以上	视频广告销售总监-华北/华东/华南 	广州,北京,上海	将人工智能应用到主产品的科技互联网公司	22-37万	2小时前	https://m.liepin.com/a/13073751.shtml	
41	2年以上 大专或以上	广州办事处销售工程师 	广州-番禺区	上海孚恩电子科技有限公司	4-8万	2小时前	https://m.liepin.com/job/197918574.shtml	https://m.liepin.com/company/7873212/
42	3年以上 本科或以上	嵌入式软件开发 	广州	亚美信息科技	13-23万	4小时前	https://m.liepin.com/job/1915795046.shtml	https://m.liepin.com/company/8223052/
43	3年以上 大专或以上	美团销售运营 	广州	美团点评	12-15万	4小时前	https://m.liepin.com/job/1918060275.shtml	https://m.liepin.com/company/2036768/
44	经验不限 学历不限	大客户销售代表 	广州-番禺区	广州海科电子科技有限公司	10-12万	5小时前	https://m.liepin.com/job/1917946815.shtml	https://m.liepin.com/company/8195728/
45	2年以上 本科或以上	IoT安全工程师 	广州-番禺区	美的集团流程与IT部（集团总部）	12-24万	5小时前	https://m.liepin.com/job/1918943091.shtml	https://m.liepin.com/company/8244054/
46	5年以上 本科或以上	工业大数据分析专家 	广州-番禺区	美的集团流程与IT部（集团总部）	面议	6小时前	https://m.liepin.com/job/1919838857.shtml	https://m.liepin.com/company/8244054/
47	5年以上 本科或以上	销售/业务发展经理 	广州	海克斯康测量技术（青岛）有限公司	18-30万	6小时前	https://m.liepin.com/job/1915579048.shtml	https://m.liepin.com/company/8031463/
48	经验不限 中专/中技或以上	综合金融客户经理主管 	广州	中国平安人寿保险股份有限公司广州市天河支公司	10-12万	6小时前	https://m.liepin.com/job/1913377489.shtml	https://m.liepin.com/company/8978693/
49	3年以上 大专或以上	ka经理 	广州-天河区	口碑（上海）信息技术有限公司	13-22万	6小时前	https://m.liepin.com/job/1919889583.shtml	https://m.liepin.com/company/9650166/
50	1年以上 大专或以上	市场推广销售 	广州	美团点评	10-18万	7小时前	https://m.liepin.com/job/1915289822.shtml	https://m.liepin.com/company/2036768/
51	3年以上 本科或以上	云计算开发工程师 	广州	上海裔晓网络科技有限公司	22-30万	7小时前	https://m.liepin.com/job/1919730943.shtml	https://m.liepin.com/company/9767315/
52	1年以上 大专或以上	市场推广专员（APP）-广州南站(J16443) 	广州	携程	7-10万	7小时前	https://m.liepin.com/job/1914824922.shtml	https://m.liepin.com/company/182339/
53	经验不限 大专或以上	旅游分销业务代表(J10592) 	广州	携程	7-10万	7小时前	https://m.liepin.com/job/1915319955.shtml	https://m.liepin.com/company/182339/
54	10年以上 本科或以上	教育项目总经理 	广州	广东加拿达教育科技有限公司	36-48万	7小时前	https://m.liepin.com/job/1917355757.shtml	https://m.liepin.com/company/9696287/
55	5年以上 本科或以上	工程总工 	广州-花都区	广州路诚建材实业有限公司	8-12万	7小时前	https://m.liepin.com/job/1918749997.shtml	https://m.liepin.com/company/9985611/
56	5年以上 本科或以上	机电设计岗 	广州-天河区	华润置地华南大区	24-36万	7小时前	https://m.liepin.com/job/1918510761.shtml	https://m.liepin.com/company/8760676/
57	10年以上 本科或以上	分公司副总经理（广东） 	广州	北京千方信息科技集团有限公司	24-36万	7小时前	https://m.liepin.com/job/1917221545.shtml	https://m.liepin.com/company/9462523/
58	5年以上 大专或以上	医生联络员（有内分泌资源广东省） 	广州	广州见华医学科技有限公司	10-18万	8小时前	https://m.liepin.com/job/1915660819.shtml	https://m.liepin.com/company/9684606/
59	3年以上 本科或以上	高级售前咨询师 	广州-天河区	国双科技	面议	8小时前	https://m.liepin.com/job/1917680377.shtml	https://m.liepin.com/company/7885134/
0	经验不限 本科或以上	商务专员 	广州-天河区	广州市同顺弘通信科技发展有限公司	7-10万	8小时前	https://m.liepin.com/job/1919465573.shtml	https://m.liepin.com/company/9996039/
1	3年以上 本科或以上	车联信息安全设计 	广州	东风日产广州	面议	8小时前	https://m.liepin.com/job/1915779958.shtml	https://m.liepin.com/company/8038855/
2	3年以上 大专或以上	大客户经理（广州） 	广州	宏景科技股份有限公司	6-12万	8小时前	https://m.liepin.com/job/1913179886.shtml	https://m.liepin.com/company/9496856/
3	3年以上 本科或以上	嵌入式软件资深工程师(算法移植) 	广州	广州小鹏汽车科技有限公司	30-42万	9小时前	https://m.liepin.com/job/1917909277.shtml	https://m.liepin.com/company/8908817/
4	8年以上 本科或以上	企业服务事业部副总经理 	广州-海珠区	青岛兮易信息技术有限公司	18-30万	10小时前	https://m.liepin.com/job/1916225653.shtml	https://m.liepin.com/company/8899291/
5	1年以上 本科或以上	后端如服务器开发工程师（AI方向） 	广州	广州图普网络科技有限公司	17-34万	10小时前	https://m.liepin.com/job/1914678884.shtml	https://m.liepin.com/company/8341511/
6	8年以上 本科或以上	EC-制造总监/生产运营总监 	广州	CVTE	28-56万	11小时前	https://m.liepin.com/job/1915034888.shtml	https://m.liepin.com/company/7854025/
7	3年以上 本科或以上	专利工程师 	广州	广东星舆科技有限公司	10-18万	11小时前	https://m.liepin.com/job/1917555727.shtml	https://m.liepin.com/company/9529379/
8	5年以上 本科或以上	CRM顾问 	深圳,广州,惠州	智能产品制造及互联网应用服务企业	26-45万	11小时前	https://m.liepin.com/a/14798567.shtml	
9	5年以上 本科或以上	需求规划中级工程师（CRM） 	广州,惠州,深圳	智能产品制造及互联网应用服务企业	26-45万	11小时前	https://m.liepin.com/a/14798331.shtml	
10	经验不限 学历不限	客服专员 	广州	iGola，骑鹅游	5-7万	11小时前	https://m.liepin.com/job/1911821404.shtml	https://m.liepin.com/company/7959230/
11	经验不限 学历不限	夜班客服 	广州	iGola，骑鹅游	5-7万	11小时前	https://m.liepin.com/job/1911821329.shtml	https://m.liepin.com/company/7959230/
12	1年以上 大专或以上	综合金融，贷款，客户顾问 	广州-天河区	中国平安人寿保险股份有限公司广州市珠江支公司	面议	11小时前	https://m.liepin.com/job/1916250257.shtml	https://m.liepin.com/company/8185216/
13	3年以上 本科或以上	图像处理算法工程师 	广州-天河区	玄武科技	面议	12小时前	https://m.liepin.com/job/1916772771.shtml	https://m.liepin.com/company/2133672/
14	2年以上 学历不限	销售经理 	广州-天河区	广州市聚屏电子科技有限公司	10-19万	12小时前	https://m.liepin.com/job/1919838585.shtml	https://m.liepin.com/company/10045095/
15	3年以上 大专或以上	区域业务经理 	广州	云丁网络技术（北京）有限公司	14-21万	12小时前	https://m.liepin.com/job/1918770927.shtml	https://m.liepin.com/company/8824779/
16	5年以上 本科或以上	华南区负责人（广州） 	广州	云丁网络技术（北京）有限公司	28-42万	12小时前	https://m.liepin.com/job/1918827495.shtml	https://m.liepin.com/company/8824779/
17	5年以上 本科或以上	华南区大区经理 	广州	云丁网络技术（北京）有限公司	21-35万	12小时前	https://m.liepin.com/job/1918912519.shtml	https://m.liepin.com/company/8824779/
18	2年以上 本科或以上	前端工程师-创新 (MJ000388) 	广州	锦江信息技术（广州）有限公司	10-14万	12小时前	https://m.liepin.com/job/1919660271.shtml	https://m.liepin.com/company/8973053/
19	5年以上 大专或以上	区域销售经理（高校创客教育） 	广州	美科科技（北京）有限公司	12-18万	13小时前	https://m.liepin.com/job/1915609764.shtml	https://m.liepin.com/company/8596721/
20	5年以上 本科或以上	行业销售总监 	广州	佛山市城市安全研究中心有限公司	18-30万	13小时前	https://m.liepin.com/job/1917681215.shtml	https://m.liepin.com/company/9881709/
21	5年以上 本科或以上	信息安全管理高级经理 	广州	名创优品	面议	13小时前	https://m.liepin.com/job/1914566825.shtml	https://m.liepin.com/company/8392675/
22	3年以上 本科或以上	高级算法分析师（图像识别方向） 	广州	名创优品	面议	13小时前	https://m.liepin.com/job/1912197634.shtml	https://m.liepin.com/company/8392675/
23	3年以上 大专或以上	工程项目经理 	广州-天河区	佳都新太科技	12-18万	13小时前	https://m.liepin.com/job/1919688401.shtml	https://m.liepin.com/company/2115085/
24	2年以上 本科或以上	AI算法工程师 	广州-天河区	广州寄锦教育科技有限公司	18-36万	13小时前	https://m.liepin.com/job/1914006140.shtml	https://m.liepin.com/company/8311755/
25	2年以上 本科或以上	大数据开发 	广州-天河区	广州寄锦教育科技有限公司	18-36万	13小时前	https://m.liepin.com/job/1915279526.shtml	https://m.liepin.com/company/8311755/
26	3年以上 本科或以上	渠道销售经理 	广州	西藏云在线信息科技有限公司	10-12万	13小时前	https://m.liepin.com/job/1918505529.shtml	https://m.liepin.com/company/9656637/
