	expr	job_title	location_company	name_company	salary	time	url	url_company
55	3年以上 本科或以上	PCB工程师 	上海,杭州	具备国际智能驾驶领域技术领导力的高科技创新型企业	25-42万	昨天	https://m.liepin.com/a/14074849.shtml	
56	5年以上 本科或以上	阿里云智能事业群-业务拓展专家-3C品牌零售商方向（北京/杭州） 	杭州	阿里巴巴	面议	前天	https://m.liepin.com/job/1919829939.shtml	https://m.liepin.com/company/1072424/
57	3年以上 本科或以上	销售主管 	杭州,上海,重庆	某人工智能企业	21-28万	前天	https://m.liepin.com/a/14381347.shtml	
58	3年以上 本科或以上	机器人销售工程师 	杭州-西湖区	杭州云深处科技有限公司	面议	前天	https://m.liepin.com/job/1918071491.shtml	https://m.liepin.com/company/9485537/
59	5年以上 本科或以上	钉钉(DingTalk)-音视频会务专家-硬件技术【HOT】 	杭州	阿里巴巴	面议	前天	https://m.liepin.com/job/1913931557.shtml	https://m.liepin.com/company/1072424/
0	5年以上 本科或以上	钉钉(DingTalk)-音视频系统技术专家-研发中心 	杭州	阿里巴巴	面议	前天	https://m.liepin.com/job/1911178642.shtml	https://m.liepin.com/company/1072424/
1	5年以上 本科或以上	阿里云智能-云业务经理-行业能力中心-互联网 	杭州	阿里巴巴	面议	前天	https://m.liepin.com/job/1918992387.shtml	https://m.liepin.com/company/1072424/
2	3年以上 本科或以上	解决方案工程师（智慧交通） 	杭州-江干区	鸿程系统	12-18万	前天	https://m.liepin.com/job/1915855687.shtml	https://m.liepin.com/company/7882663/
3	2年以上 硕士或以上	算法/机器学习 	杭州	杭州国辰机器人科技有限公司	20-26万	前天	https://m.liepin.com/job/1916460891.shtml	https://m.liepin.com/company/8547839/
4	3年以上 本科或以上	项目经理（互联网医疗） 	杭州	火石创造	22-30万	前天	https://m.liepin.com/job/1919773863.shtml	https://m.liepin.com/company/8583359/
5	3年以上 本科或以上	项目经理（药企数字营销） 	杭州	火石创造	22-30万	前天	https://m.liepin.com/job/1919773755.shtml	https://m.liepin.com/company/8583359/
6	8年以上 本科或以上	自动化研究所所长 	杭州	娃哈哈	面议	前天	https://m.liepin.com/job/1919446781.shtml	https://m.liepin.com/company/7891063/
7	1年以上 本科或以上	风险建模师 	北京,上海,杭州	某人工智能公司	42-78万	前天	https://m.liepin.com/a/13561439.shtml	
8	3年以上 硕士或以上	资深C++软件研发工程师 (职位编号：XJ004) 	杭州	杭州电子科技大学	面议	前天	https://m.liepin.com/job/1916676099.shtml	https://m.liepin.com/company/8305111/
9	5年以上 本科或以上	区域销售经理 	杭州-余杭区	博彦科技	面议	前天	https://m.liepin.com/job/1919812869.shtml	https://m.liepin.com/company/878518/
10	3年以上 大专或以上	索菲莉尔-门店销售主管 (职位编号：1306) 	杭州	麒盛科技股份有限公司	10-18万	前天	https://m.liepin.com/job/1917744933.shtml	https://m.liepin.com/company/9671274/
11	8年以上 本科或以上	副总裁/政企业务中心总经理 	杭州-滨江区	创业B轮公司，智能硬件+云计算	45-60万	前天	https://m.liepin.com/a/14750337.shtml	
12	7年以上 本科或以上	阿里云智能事业群-风险控制-高级财务专家（信用和应收账款管理） 	杭州	阿里巴巴	面议	前天	https://m.liepin.com/job/1918876117.shtml	https://m.liepin.com/company/1072424/
13	5年以上 本科或以上	项目经理 	杭州	杭州某人工智能及大数据公司	28-42万	前天	https://m.liepin.com/a/14727689.shtml	
14	5年以上 本科或以上	后端研发专家 	杭州	杭州略懂科技有限公司	30-42万	前天	https://m.liepin.com/job/1919711701.shtml	https://m.liepin.com/company/8616521/
