	expr	job_title	location_company	name_company	salary	time	url	url_company
32	3年以上 学历不限	软件产品经理 	北京-海淀区	国内知名独角兽公司	24-48万	2019-04-24	https://m.liepin.com/a/14461733.shtml	
33	5年以上 本科或以上	车联网产品总监 	北京	盛世复兴技术（北京）有限公司	18-24万	2019-04-24	https://m.liepin.com/job/1918917179.shtml	https://m.liepin.com/company/8182551/
34	5年以上 大专或以上	电子设计主管 	上海,广东,北京	某世界知名品牌500强外企	28-49万	2019-04-24	https://m.liepin.com/a/14457367.shtml	
35	5年以上 本科或以上	内容质量平台产品专家 	北京	国内Top3互联网集团	75-135万	2019-04-23	https://m.liepin.com/a/14318979.shtml	
36	3年以上 本科或以上	机器视觉算法工程师 	北京	某大型科技公司	22-45万	2019-04-23	https://m.liepin.com/a/14428919.shtml	
37	3年以上 本科或以上	机器视觉算法工程师 	杭州,北京	某世界500强通讯企业	32-64万	2019-04-23	https://m.liepin.com/a/14304751.shtml	
38	3年以上 学历不限	产品经理 	北京-海淀区	某车联网公司	30-60万	2019-04-23	https://m.liepin.com/a/14425569.shtml	
39	3年以上 大专或以上	产品经理 	北京	北京欣博电子科技有限公司	12-29万	2019-04-22	https://m.liepin.com/job/1915931233.shtml	https://m.liepin.com/company/9585935/
40	5年以上 本科或以上	数据平台产品经理 	北京	某金融科技公司	24-48万	2019-04-22	https://m.liepin.com/a/14411857.shtml	
41	3年以上 本科或以上	车载UI高级产品经理 	北京,上海,广州	国际知名某新能源汽车厂商	30-54万	2019-04-22	https://m.liepin.com/a/14408581.shtml	
42	5年以上 硕士或以上	算法总监 	北京-朝阳区	某知名在线教育公司	112-154万	2019-04-22	https://m.liepin.com/a/14382943.shtml	
43	5年以上 本科或以上	物联网产品经理 	北京	大型集团科技研究院	30-45万	2019-04-20	https://m.liepin.com/a/14400143.shtml	
44	3年以上 本科或以上	产品总监 	北京	北斗航天信息网络技术有限公司	22-30万	2019-04-18	https://m.liepin.com/job/1915759904.shtml	https://m.liepin.com/company/9708720/
45	3年以上 本科或以上	产品市场经理（物流方向） 	北京	北京华捷艾米科技有限公司	面议	2019-04-18	https://m.liepin.com/job/1915719368.shtml	https://m.liepin.com/company/9456428/
46	3年以上 本科或以上	NLP算法工程师 	上海,深圳,北京	国内知名金融科技公司	40-64万	2019-04-17	https://m.liepin.com/a/14353075.shtml	
47	3年以上 学历不限	AI技术专家 	北京	某知名互联网公司	70-105万	2019-04-17	https://m.liepin.com/a/13741845.shtml	
48	8年以上 学历不限	产品及解决方案-技术架构师 	北京-海淀区,深圳-南山区,上海-徐汇区	商汤科技	52-91万	2019-04-17	https://m.liepin.com/a/14345615.shtml	
49	经验不限 本科或以上	智能驾舱交互设计师 	上海,广州,北京	某网络公司	19-26万	2019-04-16	https://m.liepin.com/a/14323447.shtml	
50	经验不限 本科或以上	智能驾舱交互设计师 	上海,南京,北京	国内知名互联网公司	19-28万	2019-04-16	https://m.liepin.com/a/14318975.shtml	
51	5年以上 本科或以上	产品总监 	北京	AI 计算机视觉四小龙	56-98万	1个月前	https://m.liepin.com/a/14282869.shtml	
52	5年以上 本科或以上	产品总监 	北京	AI 计算机视觉四小龙	70-98万	1个月前	https://m.liepin.com/a/14248809.shtml	
53	3年以上 本科或以上	车载交互开发与测试岗-语音及导航交互软件开发方向(J10231) 	北京-大兴区	北京新能源汽车股份有限公司	面议	1个月前	https://m.liepin.com/job/1919130181.shtml	https://m.liepin.com/company/8086279/
54	经验不限 本科或以上	技术支持工程师（物联网智能系统/工业自动化事业群） 	北京-海淀区	研华（中国）	9-17万	1个月前	https://m.liepin.com/job/1915373327.shtml	https://m.liepin.com/company/5183488/
55	3年以上 本科或以上	移动端产品经理 	北京-朝阳区	国内知名体育视频类互联网企业	37-45万	1个月前	https://m.liepin.com/a/14206783.shtml	
56	8年以上 本科或以上	产品规划工程师 	北京	某德国品牌汽车公司	24-40万	1个月前	https://m.liepin.com/a/13166727.shtml	
57	3年以上 本科或以上	AI硬件高级产品经理 	北京-朝阳区	广州小狗机器人技术有限公司北京分公司	35-49万	1个月前	https://m.liepin.com/job/1914052629.shtml	https://m.liepin.com/company/9092852/
58	3年以上 本科或以上	AI应用产品经理 	北京-朝阳区	广州小狗机器人技术有限公司北京分公司	28-42万	1个月前	https://m.liepin.com/job/1914052661.shtml	https://m.liepin.com/company/9092852/
